kepid,mass,radius,teff,bp_rp,lum_val,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
5105687,1.029,1.034,5946.9,0.8873873,1.2133888504649772,0.18417713143943248,0.1075,167.555
5109521,0.883,0.852,5439.2,1.0248499,0.5675446054085471,0.12357575301752138,0.091,212.53
5109594,1.118,1.384,5976.2,0.9141836,2.2130947096056377,0.15080803648445923,0.313,97.942
5109613,0.962,1.161,5668.9,1.0415621,1.2647363474711513,0.17692722982576264,0.3645,162.186
5109685,0.935,1.051,5377.5,1.0263128,0.8394599865193975,0.06441423741578135,0.183,63.134
5109693,1.19,1.491,6094.5,0.8649416,2.8054336379517135,0.15087769830167924,0.171,82.571
5109804,0.921,1.095,5556.8,0.9225683,1.0375284158180127,0.09414304410289098,0.1655,88.113
5112659,0.955,1.319,5586.8,0.87206745,1.5381546403030348,0.07992984648596982,0.2185,52.082
5112670,1.332,2.239,6049.2,0.86998653,5.807644175213121,0.3571754037017958,NaN,163.347
5112712,1.063,1.421,5815.3,0.90436363,2.0941124558508926,0.197843676012381,0.3383,135.472
5119872,0.834,0.793,5318.3,1.0836763,0.45394161665020316,0.10472032566839518,0.0107,167.059
5119928,0.911,0.919,5536.4,1.122489,0.7227698036021702,0.18690319436418226,0.2603,256.601
5120087,1.215,1.211,6392.0,0.7776499,2.218196419800219,0.10612328063668379,0.142,75.834
5120225,0.895,0.836,5726.1,0.96329784,0.6823386941416696,0.053200247923913604,0.063,75.301
5126629,0.777,0.73,5257.3,1.1403542,0.36897759857015033,0.09730782063058667,0.1203,168.526
5126636,0.921,0.906,5581.3,1.0531397,0.7211074791828996,0.10009271280758748,0.1665,130.328
5126666,1.314,1.467,6706.0,0.74311733,3.9355007545577743,0.15002239618380978,0.2805,66.679
5126762,1.09,1.073,6160.4,0.949213,1.4757065332758945,0.16020978937475033,0.278,175.538
5126855,0.848,0.798,5469.3,1.1073637,0.516416369272071,0.15524083256859048,0.015,328.808
5127030,1.125,1.166,6163.2,0.99329185,1.7660378206861644,0.17707097052726403,0.3105,233.032
5165762,0.983,1.196,5937.9,0.8999319,1.6143585568264862,0.20552350924973184,0.254,225.938
5165789,0.692,0.665,4713.9,1.2408085,0.19724227361148539,0.11638408688823312,0.016,230.618
5165882,1.005,0.997,5869.5,1.0185537,1.069054879222658,0.1047196231302968,0.2465,118.824
5172170,0.771,0.754,4879.3,1.1274519,0.29174270140011666,0.07980017483081957,0.1025,124.369
5172189,1.06,1.13,5975.3,0.88921833,1.4757065332758945,0.1480450192733985,0.2017,117.592
5172380,0.891,0.84,5601.3,1.0088892,0.6309573444801932,0.10727364759509765,0.0933,138.736
5172382,1.185,1.325,6213.1,0.78516674,2.3878112829131775,0.15378578268568413,0.185,87.988
5172408,0.755,0.734,4822.0,1.2296629,0.26242185433844417,0.11327041648769277,0.096,152.822
5018078,1.019,1.014,5935.5,0.95781994,1.158777356155126,0.18401994766519214,0.235,255.235
5018118,0.879,0.843,5484.4,1.1088285,0.5834451042737447,0.17403454885817574,0.1453,239.519
5022409,1.135,1.113,6385.3,0.7704048,1.8578044550916986,0.21040824877435724,0.0582,140.46
5022440,1.085,1.381,5890.5,0.92305183,2.084490883097289,0.21551476907144437,0.377,272.403
5022454,1.046,0.994,5997.3,0.82756233,1.1534532578210923,0.06885018432619168,0.0535,89.305
5022557,1.122,1.135,6191.4,0.8199558,1.717908387157588,0.15445247109764654,0.151,112.856
5032946,1.083,1.049,6339.0,0.95688534,1.6106456351782703,0.1795730441508973,0.2637,195.448
5032961,1.555,1.716,7290.9,0.81726456,7.568328950209744,0.25101763185421344,NaN,121.208
5033073,1.105,1.119,5945.9,0.846941,1.4157937799570817,0.09456580495275269,0.1667,73.698
5033134,1.083,1.113,6060.1,0.9819622,1.5135612484362082,0.15094449608686536,0.221,159.773
5033166,0.962,0.917,5883.9,0.98258305,0.9141132414702502,0.13170605638204225,NaN,258.06
5033179,0.889,0.819,5301.4,1.1296949,0.4786300923226383,0.09872261783076113,0.145,167.423
5033189,1.19,1.353,6210.7,0.88621235,2.4774220576332855,0.13381932224165413,0.3315,93.789
5033191,0.874,0.838,5456.7,1.1575651,0.5636376558259545,0.16974174725576643,0.2287,284.059
5039141,1.23,1.429,6265.7,0.84379673,2.8773984147356693,0.17223903448319422,0.389,126.924
5039209,1.102,1.078,6286.5,1.0140839,1.6481623915255081,0.17006244718980718,NaN,197.638
5039262,0.809,0.759,5336.6,1.1539135,0.4236429660495411,0.10071000257630526,0.1103,213.547
5080174,0.669,0.66,4298.7,1.6660929,0.13489628825916536,0.20505945431804387,NaN,361.662
5080186,0.951,0.924,5713.0,0.92026615,0.8203515443298183,0.07778081890543496,0.0653,84.539
5080249,1.044,1.475,5745.5,0.85259056,2.147830474130534,0.10762255312385835,0.2998,64.746
5080261,0.994,1.409,5648.4,0.9163542,1.8323144223712116,0.2057109042333018,0.335,178.068
5080344,1.336,1.385,6730.4,0.686841,3.5809643710263606,0.1718237440564196,0.1463,56.061
5088591,0.787,0.744,5221.2,1.097744,0.3723917062545685,0.07867460441222614,0.043,167.099
5088621,1.011,1.597,5559.1,1.0051994,2.2130947096056377,0.32937748681602375,0.7665,222.208
5088630,1.205,1.442,6180.2,0.8185816,2.78612116862977,0.22370307450359672,0.3585,118.129
5088633,1.201,1.639,6010.9,0.860816,3.1768740706497707,0.2871910610153691,0.7567,141.869
5088724,0.907,1.376,5855.7,0.8559284,2.0183663636815607,0.1223967132324611,0.226,71.272
5088806,0.711,0.698,4536.4,1.4521742,0.186637969083467,0.22823656175798146,0.1975,248.044
5088807,0.9,0.866,5525.3,0.95485115,0.6338697112569269,0.09840171087052656,0.054,107.86
5088826,1.083,1.847,5579.0,0.97674847,2.9991625189876507,0.3346294532495398,NaN,183.515
5093714,1.207,1.592,6255.9,0.75932884,3.5075187395256804,0.16708896181430904,0.4688,56.871
5093751,1.007,1.125,5814.1,0.92682266,1.3121998990192032,0.2173819121596038,0.1983,187.117
5093806,1.273,1.702,6160.0,0.8273277,3.793149849736819,0.279072916729327,NaN,109.294
5093807,0.929,0.887,5736.6,0.95598316,0.7726805850957024,0.15487781064668849,0.1075,180.961
5093826,1.041,1.147,5908.5,0.894701,1.455459080581966,0.17133092325004529,0.1852,129.65
5093865,0.93,1.006,5591.9,1.0154924,0.8974287945007484,0.11056896655167242,0.2393,109.638
5093870,1.062,1.096,6011.1,0.85055447,1.4223287871228198,0.2248140796831468,0.1227,175.807
5097470,1.076,1.118,5763.4,0.9504137,1.2502590302177201,0.11853521277871344,0.264,86.883
5097583,0.776,0.758,4950.4,1.2416229,0.3118889584093937,0.17377967755349827,NaN,240.76
5097584,1.023,1.039,5909.7,0.890892,1.1939881044642733,0.16260012108879518,0.127,193.048
5097629,0.901,0.871,5626.2,0.8782253,0.6870684400142322,0.03309093250384305,0.0443,39.027
5105756,1.03,1.089,5899.8,0.92134094,1.3031667784522993,0.1496282248056868,NaN,130.179
5105781,0.878,0.901,5388.7,1.077878,0.6208690342300636,0.09532091077068476,NaN,100.722
5105797,1.048,1.016,5693.8,0.8568888,0.9817479430199844,0.04679824862656905,0.098,75.292
5105798,0.967,1.349,5595.9,0.99967194,1.62181009735893,0.25731896523458964,0.3712,242.029
5105805,0.975,0.998,5745.7,0.93783,0.9840111057611337,0.10858373477244869,0.1233,124.012
5105813,1.266,1.434,6385.0,0.818058,3.0974192992165803,0.20598876656204837,NaN,106.025
5105817,1.113,1.355,5983.6,0.9273205,2.1428906011200586,0.210903116218217,0.388,172.799
5105879,1.048,1.125,5943.6,0.8764305,1.428893958511103,0.1307413634568369,0.1735,99.177
5109846,1.166,1.316,6230.7,0.84692574,2.3659196974857584,0.14771926010563366,0.2467,90.43
5109851,0.914,1.026,5540.5,1.0630236,0.8994975815300352,0.14736256074606727,0.3387,159.787
5109854,0.786,0.76,5013.1,1.2391672,0.33265955329400454,0.1529161313783807,NaN,248.196
5109898,1.142,1.549,5933.1,0.9467335,2.685344445658507,0.3318972275069488,NaN,239.212
5109945,1.187,1.442,6131.4,0.8521986,2.63633138582538,0.11174372771215535,0.3313,61.717
5109962,0.848,0.844,5256.4,1.0626631,0.4931738039549359,0.08221027771429387,0.102,136.919
5112738,0.774,0.754,4928.5,1.2586279,0.30338911841942706,0.1654112393577235,0.164,254.439
5120479,0.991,0.986,5820.6,0.925478,1.0092528860766845,0.0933310731204571,0.103,90.291
5120654,0.917,0.874,5781.8,1.0036259,0.7709034690644301,0.06656723040213058,0.0488,104.008
5120676,1.23,1.219,6563.8,0.8155308,2.4774220576332855,0.1518342141012495,0.155,103.898
5120720,0.95,1.052,5645.7,1.037262,1.0115794542598986,0.1633761973248558,0.2403,200.067
5120770,1.363,1.321,7278.2,0.9529419,4.456562483975033,0.19526939611704455,0.291,165.682
5120829,1.068,1.022,6050.9,1.0242519,1.2302687708123816,0.2016232970389324,NaN,209.132
5120835,1.068,1.104,6297.3,0.8319073,1.733803997754138,0.08456016082704448,0.0935,61.258
5120902,0.974,1.016,5736.5,1.0492105,1.0046157902783952,0.17132165442075606,0.2255,225.158
5127652,0.975,0.937,5864.1,0.9176502,0.9418895965228413,0.12897722017814436,0.0383,176.581
5127722,1.046,1.244,5865.4,1.0906029,1.6180800376430657,0.22753887486069674,0.387,262.716
5166023,0.8,0.777,5087.5,1.2338753,0.3664375746478333,0.17094664747521787,0.1523,313.025
5166094,0.808,0.794,5082.9,1.224659,0.38194427084004656,0.1730170090073678,0.2103,340.152
5166159,0.98,1.135,5728.5,1.1261454,1.2618275345906707,0.2396240309886974,0.3963,272.611
5166247,0.769,0.721,5253.7,1.1911402,0.3589219346450052,0.10556335723744391,0.0075,215.547
5172426,1.026,1.01,5956.0,0.90712166,1.1641260294104914,0.0810897817233451,0.163,103.898
5174359,1.078,1.087,5680.3,0.94576263,1.109174815262401,0.052473509312791204,NaN,41.423
5174376,0.695,0.684,4419.8,1.4602175,0.16143585568264862,0.1160852244488455,0.091,104.912
5174415,0.978,0.991,5567.0,0.9776974,0.8531001140175895,0.12411546292641173,0.162,129.416
5174424,0.824,0.798,5165.1,1.1091537,0.4102041029866068,0.05554436526427741,0.012,103.276
5018217,1.311,1.848,6148.7,0.8546629,4.436086439314326,0.25168549334741697,0.6447,107.062
