kepid,mass,radius,teff,bp_rp,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
9285848,1.096,1.4143763,5760.25,0.8456392,0.16696575912745257,NaN,91.103
9285859,0.816,1.0427305,5092,1.0374041,0.13415218163530163,0.167,144.794
9285891,0.78,1.3084676,5358.5,0.95837116,0.13629989708401688,0.199,111.773
9285894,0.669,0.9095447,4434.5,1.4581718,0.28143933422302747,0.369,251.15
9285901,0.831,1.246316,5705.407,0.8544874,0.05284744170593825,NaN,33.497
9285996,0.775,0.69259024,5017.13,1.1870422,0.13607670068797537,0.0053,207.929
9290177,1.132,1.5877739,5590.08,0.89827824,0.21202562574851738,NaN,141.692
9290242,1.104,1.4495956,5464,0.90820026,0.23349707213113963,NaN,196.337
9290258,0.821,0.67401165,4989.29,1.2765265,0.12331600014904133,0.1635,169.137
9301643,1.012,1.2972485,5325,1.0152922,0.1893433484130607,0.3102,225.429
9301774,0.927,1.2842653,5403.33,0.90664864,0.06548892309909651,0.178,52.033
9301872,0.956,0.9387681,5700.0063,0.9954252,0.11587176145422148,0.15,140.474
9301918,0.731,0.6770466,4980,1.2887325,0.1615526623576945,0.227,271.517
9301964,0.739,0.8872108,4953,1.1301794,0.08531931021181645,0.15,168.534
9302506,0.818,0.8486853,5638.5,1.0605478,0.14322386845666207,NaN,232.03
9302601,0.693,0.8067015,4904.313,1.1860342,0.08308557411496306,0.1005,170.389
9325859,1.081,1.1334361,5580.3335,0.8834772,0.12632838678364888,0.106,105.592
9325885,0.987,1.0003682,5744.5,0.8694143,0.081909477268081,0.0875,68.439
9326170,0.786,0.5499602,4829,1.4110956,0.20722355131923834,0.0477,244.195
9330740,1.022,0.9212719,5810.5,0.82757854,0.04885029668039874,0.0223,41.373
9330789,1.095,1.1823932,5462,0.92691517,0.1296927305938823,0.2037,99.426
9330808,0.583,0.8594806,4881.25,1.2133598,0.122087265777541,0.274,126.646
9330846,0.918,0.9372401,5089.71,1.0380077,0.14768805371432978,0.123,220.682
9336089,0.963,1.0259143,5426,0.9395437,0.15036868919656568,0.073,165.464
9336094,0.894,0.7579336,5349.59,1.019104,0.11902294883009738,0.049,247.117
9336118,0.715,1.1537589,5083.285,1.082551,0.1642421875214467,0.353,205.504
9336140,1.167,0.9585486,5486.5,0.89559364,0.08978801951787403,0.027,131.428
9336200,0.928,0.78389144,5455,1.0183954,0.14660456978608455,0.041,272.257
9336208,0.811,0.6724353,4868.203,1.310667,0.16653302689528332,0.1225,251.064
9336212,0.831,1.3203093,5131.75,1.049078,0.21320151275562751,0.3523,296.527
9336279,0.953,0.83678114,5227.915,1.0146246,0.09783425201993472,0.037,138.87
9344990,0.886,0.942127,5372,0.96364975,0.0911246200103978,0.047,164.68
9345112,1.056,1.2670751,5754,0.84808064,0.21811734212496842,0.1543,163.027
9345124,0.861,0.8648503,5373,0.97442436,0.08375032953686645,0.039,97.087
9345215,0.925,1.2295723,5353,0.9658489,0.1790814241395221,0.2225,166.066
9345232,0.919,1.5017959,5718.267,0.88202095,0.26079220626763083,0.3677,177.91
9349518,0.886,1.1808984,5341.0747,0.93783855,0.14012576077706249,NaN,138.484
9349660,0.894,0.79446703,4968.46,1.190424,0.1352056752933693,NaN,180.185
9349672,0.955,1.2293215,5406,0.94288063,0.11134302203444046,0.267,87.402
9353758,0.897,0.98089933,5033.2275,1.0570269,0.06861130794909495,0.1245,87.606
9353844,1.047,1.0676262,5354,0.97004604,0.18382088272774658,NaN,219.232
9353875,1.029,1.3071072,5811.25,0.8690491,0.18231168484492338,0.194,121.36
9353877,0.577,0.5957292,5035.37,1.2295046,0.09638528993941524,0.05,160.602
9353940,0.833,0.6865654,4962.75,1.1248655,0.09757251842028351,0.0435,175.143
9353949,1.029,1.2645893,5972.6665,0.7433834,0.11544296033381063,0.143,84.785
9369022,0.85,0.60759974,4933,1.3394566,0.19293766304241955,NaN,421.508
9369088,1.179,1.2664384,5127.62,1.043745,0.2185381828274272,0.2503,344.086
9369097,0.704,0.6545438,4826.455,1.3140011,0.15664463021894662,NaN,265.057
9369234,0.939,0.9960061,5032.3335,1.0920563,0.11738984283037203,0.221,187.514
9369271,1.135,1.4052719,5570.69,0.8905306,0.10889276766936433,NaN,93.21
9369295,0.747,1.0263875,5127.62,1.0582228,0.062353897771752084,0.235,95.898
9228734,1.37,1.310215,6332,0.6789446,0.1626465326298944,0.03,91.626
9228766,0.972,0.87416774,4943.755,1.1638546,0.16795568077322945,NaN,252.565
9228855,1.026,1.4401227,5179.4,1.0545521,0.2372488332549397,0.4177,205.387
9228927,0.681,0.7494774,4379,1.6256952,0.22457839182969985,NaN,375.654
9241220,0.799,0.7657802,4569.75,1.4026108,0.1799331227479914,0.1847,223.826
9241346,0.63,0.72371745,4481,1.4613867,0.23036025641660704,0.2653,366.723
9241688,0.842,0.8468407,5018.783,1.2220583,0.12307096552823886,0.2688,152.903
9265368,1.077,1.1573924,5691.7803,0.88883877,0.16098050228646685,0.1243,145.948
9265388,0.996,1.2617972,5828.25,0.80909157,0.09728604056196807,0.1865,57.305
9265436,0.784,0.5763846,5002.6797,1.2668571,0.13738611021184166,0.0127,199.174
9265504,0.882,1.0346167,5810,0.8231964,0.10908143428559494,0.06,82.089
9265564,0.847,1.1374909,5356,0.98806286,0.06583527817191559,NaN,100.746
9269102,1.033,0.92033803,5494.39,0.9015398,0.11096569770892704,0.065,111.178
9269155,0.538,0.5987106,4071.3333,1.7861137,0.1003876224408713,0.228,148.793
9269239,0.838,0.852633,5050.5234,1.069026,0.057589397377095376,0.0807,76.744
9269254,0.883,0.81335056,5330.9937,0.98097515,0.14086388783733844,0.01,214.029
9273882,0.62,1.4010801,5195.37,1.0517778,0.2213871653862832,0.4585,186.391
9274078,1.166,1.8468946,5776,0.84095,0.2946523690974082,0.5887,151.619
9274085,0.817,0.8997038,5150,1.0154161,0.05079356715054829,0.0338,71.48
9274113,0.979,1.0164301,5419.6665,0.92315483,0.17683409929877622,0.064,208.541
9282591,1.134,1.2991294,5424,0.9342537,0.17664711450246104,NaN,153.299
9282638,1.058,1.2194886,5774.5,0.8619909,0.20928013279404753,0.219,169.314
9282684,1.122,1.6373398,5752,0.8515358,0.21713774137126157,0.511,127.566
9282728,0.719,0.68541944,5021,1.307292,0.19005039221393147,0.2622,221.318
9282759,1.151,1.4188571,5968,0.7547846,0.09845215071272424,0.207,45.934
9282762,1.098,1.0730729,5453.6665,0.9273968,0.1859383404445007,0.117,198.832
9286223,1.241,0.9069445,5748,0.87192726,0.1948203732773836,0.035,233.162
9286251,1.043,0.9598934,5378,0.92652893,0.1268603947205071,0.094,148.465
9286281,0.923,0.89589894,5249.6167,1.0204344,0.16493789697171152,0.086,214.958
9286324,1.117,0.981774,5503.705,0.94543934,0.14554803078551878,0.1012,196.771
9290267,1.05,1.1159884,5791.9927,0.87974834,0.11258865142574888,0.123,95.608
9290383,1.153,1.1175189,5377,0.9186516,0.21938821200655764,0.1387,263.287
9290410,0.557,0.5947849,4630.1265,1.3900404,0.18131213040594027,0.104,249.383
9290422,0.968,1.057903,5327.25,0.9694252,0.12266036014306758,0.148,121.681
9302653,0.771,0.8703064,5083.723,1.069828,0.11995878207530693,0.0882,816.199
9302691,0.635,0.67021835,4239.75,1.6253414,0.18804219912673203,NaN,299.554
9302902,0.984,0.957085,5373.5,0.9758959,0.05205185226838226,0.0882,65.494
9302928,0.735,0.69466865,5011,1.0992994,0.05572898412106525,0.005,97.608
9302970,1.219,1.3310789,6140,0.73907566,0.09411332706030556,0.1373,67.219
9326289,0.803,1.027442,5406,0.9491043,0.07049610860210787,0.092,72.819
9326326,0.86,0.8713721,5092,1.0178738,0.09336033078978163,0.0145,124.107
9326387,0.927,0.84428054,5392.3335,0.9718895,0.07391442426749463,0.061,80.654
9330885,0.928,0.8310176,5110.62,1.0237198,0.1286159755208347,0.078,196.233
9330909,0.99,0.9066351,5220.5,1.01365,0.1135258238924818,0.063,159.956
